StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Trad_trust_music_1,Trad_hypo_music_1,Trad_like_music_1,Trad_honest_music_1,Trad_good_music_1,Trad_trust_jury_1,Trad_hypo_jury_1,Trad_like_jury_1,Trad_honest_jury_1,Trad_good_jury_1,Trad_trust_phone_1,Trad_hypo_phone_1,Trad_like_phone_1,Trad_honest_phone_1,Trad_good_phone_1,Trad_trust_print_1,Trad_hypo_print_1,Trad_like_print_1,Trad_honest_print_1,Trad_good_print_1,Honest_trust_music_1,Honest_hypo_music_1,Honest_like_music_1,Honest_honest_music_1,Honest_good_music_1,Honest_trust_jury_1,Honest_hypo_jury_1,Honest_like_jury_1,Honest_honest_jury_1,Honest_good_jury_1,Honest_trust_phone_1,Honest_hypo_phone_1,Honest_like_phone_1,Honest_honest_phone_1,Honest_good_phone_1,Honest_trust_print_1,Honest_hypo_print_1,Honest_like_print_1,Honest_honest_print_1,Honest_good_print_1,Age,Gender,Gender_3_TEXT,Income,Education,Random ID,Create New Field or Choose From Dropdown...,Q79_3_TEXT - Topics,FL_15_DO,FL_14_DO,FL_16_DO,MusicTraditional_hypocrisy_DO,JuryTrad_hyp_DO,PhonecallTrad_hypo_DO,PrintingTrad_hypo_DO,MusicHonest_hypocrisy_DO,Juryhon_hyp_DO,PhoneCallHon_hypo_DO,PrintingHon_hypo_DO
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,How trustworthy do you think Becky is?,How hypocritical do you think Becky is?,How much do you like Becky?,How honest do you think Becky is?,How good a person do you think Becky is?,How trustworthy do you think Jennifer is?,How hypocritical do you think Jennifer is?,How much do you like Jennifer?,How honest do you think Jennifer is?,How good a person do you think Jennifer is?,How trustworthy do you think Bruce is?,How hypocritical do you think Bruce is?,How much do you like Bruce?,How honest do you think Bruce is?,How good a person do you think Bruce is?,How trustworthy do you think Kevin is?,How hypocritical do you think Kevin is?,How much do you like Kevin?,How honest do you think Kevin is?,How good a person do you think Kevin is?,How trustworthy do you think Becky is?,How hypocritical do you think Becky is?,How much do you like Becky?,How honest do you think Becky is?,How good a person do you think Becky is?,How trustworthy do you think Jennifer is?,How hypocritical do you think Jennifer is?,How much do you like Jennifer?,How honest do you think Jennifer is?,How good a person do you think Jennifer is?,How trustworthy do you think Bruce is?,How hypocritical do you think Bruce is?,How much do you like Bruce?,How honest do you think Bruce is?,How good a person do you think Bruce is?,How trustworthy do you think Kevin is?,How hypocritical do you think Kevin is?,How much do you like Kevin?,How honest do you think Kevin is?,How good a person do you think Kevin is?,Which category below includes your age?,What is your gender? - Selected Choice,What is your gender? - Other - Text,What is your approximate average household income?,What is the highest level of school you have completed or the highest degree you have received?,Random ID,Create New Field or Choose From Dropdown...,Q79_3_TEXT - Topics,FL_15 - Block Randomizer - Display Order,FL_14 - Block Randomizer - Display Order,FL_16 - Block Randomizer - Display Order,Music Traditional_hypocrisy - Display Order,Jury Trad_hyp - Display Order,Phone call Trad_hypo - Display Order,Printing Trad_hypo - Display Order,Music Honest_hypocrisy - Display Order,Jury hon_hyp - Display Order,Phone Call Hon_hypo - Display Order,Printing Hon_hypo - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID38_1""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID41_1""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID62_1""}","{""ImportId"":""QID63_1""}","{""ImportId"":""QID64_1""}","{""ImportId"":""QID65_1""}","{""ImportId"":""QID66_1""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID50_1""}","{""ImportId"":""QID51_1""}","{""ImportId"":""QID52_1""}","{""ImportId"":""QID53_1""}","{""ImportId"":""QID54_1""}","{""ImportId"":""QID68_1""}","{""ImportId"":""QID69_1""}","{""ImportId"":""QID70_1""}","{""ImportId"":""QID71_1""}","{""ImportId"":""QID72_1""}","{""ImportId"":""QID76""}","{""ImportId"":""QID77""}","{""ImportId"":""QID77_3_TEXT""}","{""ImportId"":""QID78""}","{""ImportId"":""QID79""}","{""ImportId"":""Random ID""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}","{""ImportId"":""QID77_3_TEXT_0ff30fa9c5dd4c6ea461e7caTopics""}","{""ImportId"":""FL_15_DO""}","{""ImportId"":""FL_14_DO""}","{""ImportId"":""FL_16_DO""}","{""ImportId"":""BL_eD8hl4oOvuI3v2l_DO""}","{""ImportId"":""BL_1MTjd8HgEX8c53D_DO""}","{""ImportId"":""BL_b3ZEocGBdWmYQER_DO""}","{""ImportId"":""BL_0fdvyi3ocPN8113_DO""}","{""ImportId"":""BL_ePplkgqcUmFpBWd_DO""}","{""ImportId"":""BL_6sSgwPTCcgdqPJ3_DO""}","{""ImportId"":""BL_eDJvv8Xf0OvL381_DO""}","{""ImportId"":""BL_80qipzIFRmwD9Ah_DO""}"
12/3/2018 17:10,12/3/2018 17:30,IP Address,100,1203,TRUE,12/3/2018 17:30,R_3oGiPLWrPjHJmsF,anonymous,EN,41,40,41,41,41,42,41,41,43,44,56,56,58,57,61,58,58,60,59,58,,,,,,,,,,,,,,,,,,,,,17 or younger,Male,,"Less than $5,000",Less than high school degree,437,,,FL_14,MusicTraditional_hypocrisy|PrintingTrad_hypo|PhonecallTrad_hypo|JuryTrad_hyp,,Q1|Trad_honest_music|Trad_like_music|Trad_hypo_music|Trad_trust_music|Trad_good_music,Q25|Trad_like_jury|Trad_hypo_jury|Trad_good_jury|Trad_trust_jury|Trad_honest_jury,Q37|Trad_trust_phone|Trad_like_phone|Trad_hypo_phone|Trad_honest_phone|Trad_good_phone,Q61|Trad_like_print|Trad_good_print|Trad_honest_print|Trad_trust_print|Trad_hypo_print,,,,
12/3/2018 17:34,12/3/2018 17:35,IP Address,100,65,TRUE,12/3/2018 17:35,R_1kF8EE3EbbiZfPO,anonymous,EN,32,93,39,40,60,57,62,63,45,55,57,57,59,64,39,42,61,63,62,38,,,,,,,,,,,,,,,,,,,,,21-29,Male,,"$50,000 to $65,000",Bachelor degree,8280,,,FL_14,MusicTraditional_hypocrisy|JuryTrad_hyp|PhonecallTrad_hypo|PrintingTrad_hypo,,Q1|Trad_honest_music|Trad_trust_music|Trad_hypo_music|Trad_like_music|Trad_good_music,Q25|Trad_hypo_jury|Trad_like_jury|Trad_honest_jury|Trad_good_jury|Trad_trust_jury,Q37|Trad_like_phone|Trad_trust_phone|Trad_good_phone|Trad_hypo_phone|Trad_honest_phone,Q61|Trad_like_print|Trad_trust_print|Trad_good_print|Trad_hypo_print|Trad_honest_print,,,,
12/3/2018 17:34,12/3/2018 17:36,IP Address,100,109,TRUE,12/3/2018 17:36,R_1mOaUucOPT4iOtz,anonymous,EN,,,,,,,,,,,,,,,,,,,,,79,0,60,100,48,76,0,63,100,41,76,0,37,100,38,77,0,52,100,42,30-39,Male,,"$50,000 to $65,000",Bachelor degree,9796,,,FL_16,,PhoneCallHon_hypo|MusicHonest_hypocrisy|PrintingHon_hypo|Juryhon_hyp,,,,,Q7|Honest_honest_music|Honest_good_music|Honest_trust_music|Honest_hypo_music|Honest_like_music,Q31|Honest_honest_jury|Honest_hypo_jury|Honest_like_jury|Honest_trust_jury|Honest_good_jury,Q49|Honest_hypo_phone|Honest_honest_phone|Honest_like_phone|Honest_good_phone|Honest_trust_phone,Q67|Honest_like_print|Honest_good_print|Honest_hypo_print|Honest_honest_print|Honest_trust_print
12/3/2018 17:35,12/3/2018 17:36,IP Address,100,83,TRUE,12/3/2018 17:36,R_2xIV7rwbCD4DGqi,anonymous,EN,78,51,52,85,83,69,54,70,55,77,79,51,79,82,85,59,61,63,61,60,,,,,,,,,,,,,,,,,,,,,30-39,Female,,"$80,000 to $100,000",Bachelor degree,854,,,FL_14,JuryTrad_hyp|MusicTraditional_hypocrisy|PrintingTrad_hypo|PhonecallTrad_hypo,,Q1|Trad_honest_music|Trad_hypo_music|Trad_trust_music|Trad_good_music|Trad_like_music,Q25|Trad_honest_jury|Trad_hypo_jury|Trad_good_jury|Trad_like_jury|Trad_trust_jury,Q37|Trad_good_phone|Trad_hypo_phone|Trad_trust_phone|Trad_like_phone|Trad_honest_phone,Q61|Trad_honest_print|Trad_trust_print|Trad_like_print|Trad_good_print|Trad_hypo_print,,,,
12/3/2018 17:34,12/3/2018 17:36,IP Address,100,128,TRUE,12/3/2018 17:36,R_114OvcLgpJ0NZj4,anonymous,EN,25,64,52,26,12,20,72,39,24,33,29,73,28,15,6,5,97,5,7,12,,,,,,,,,,,,,,,,,,,,,30-39,Male,,"$50,000 to $65,000",Bachelor degree,9002,,,FL_14,PrintingTrad_hypo|MusicTraditional_hypocrisy|PhonecallTrad_hypo|JuryTrad_hyp,,Q1|Trad_good_music|Trad_like_music|Trad_honest_music|Trad_trust_music|Trad_hypo_music,Q25|Trad_like_jury|Trad_honest_jury|Trad_hypo_jury|Trad_good_jury|Trad_trust_jury,Q37|Trad_like_phone|Trad_trust_phone|Trad_good_phone|Trad_honest_phone|Trad_hypo_phone,Q61|Trad_hypo_print|Trad_honest_print|Trad_like_print|Trad_trust_print|Trad_good_print,,,,
12/3/2018 17:34,12/3/2018 17:36,IP Address,100,98,TRUE,12/3/2018 17:36,R_3q8YexRCwFBxdtD,anonymous,EN,,,,,,,,,,,,,,,,,,,,,28,96,44,17,44,28,95,31,26,45,29,84,31,33,45,17,87,43,12,47,30-39,Male,,"$35,000 to $50,000","High school degree or equivalent (e.g., GED)",4246,,,FL_16,,MusicHonest_hypocrisy|PrintingHon_hypo|Juryhon_hyp|PhoneCallHon_hypo,,,,,Q7|Honest_hypo_music|Honest_good_music|Honest_honest_music|Honest_trust_music|Honest_like_music,Q31|Honest_trust_jury|Honest_hypo_jury|Honest_like_jury|Honest_honest_jury|Honest_good_jury,Q49|Honest_hypo_phone|Honest_like_phone|Honest_good_phone|Honest_trust_phone|Honest_honest_phone,Q67|Honest_hypo_print|Honest_honest_print|Honest_trust_print|Honest_good_print|Honest_like_print
12/3/2018 17:35,12/3/2018 17:36,IP Address,100,92,TRUE,12/3/2018 17:36,R_3Rq18LOp2ICMJox,anonymous,EN,23,57,53,52,38,39,60,48,51,47,34,67,34,15,50,31,80,35,26,16,,,,,,,,,,,,,,,,,,,,,21-29,Female,,"$35,000 to $50,000",Bachelor degree,2469,,,FL_14,PrintingTrad_hypo|PhonecallTrad_hypo|MusicTraditional_hypocrisy|JuryTrad_hyp,,Q1|Trad_honest_music|Trad_like_music|Trad_hypo_music|Trad_good_music|Trad_trust_music,Q25|Trad_honest_jury|Trad_hypo_jury|Trad_good_jury|Trad_like_jury|Trad_trust_jury,Q37|Trad_like_phone|Trad_trust_phone|Trad_hypo_phone|Trad_good_phone|Trad_honest_phone,Q61|Trad_good_print|Trad_honest_print|Trad_hypo_print|Trad_like_print|Trad_trust_print,,,,
12/3/2018 17:35,12/3/2018 17:36,IP Address,100,76,TRUE,12/3/2018 17:36,R_27J4dPoZEDUUkRR,anonymous,EN,,,,,,,,,,,,,,,,,,,,,82,91,84,88,81,80,83,80,85,75,81,81,76,79,87,91,82,84,83,80,21-29,Male,,"$50,000 to $65,000",Bachelor degree,4725,,,FL_16,,Juryhon_hyp|PhoneCallHon_hypo|PrintingHon_hypo|MusicHonest_hypocrisy,,,,,Q7|Honest_trust_music|Honest_good_music|Honest_honest_music|Honest_hypo_music|Honest_like_music,Q31|Honest_hypo_jury|Honest_trust_jury|Honest_good_jury|Honest_honest_jury|Honest_like_jury,Q49|Honest_like_phone|Honest_hypo_phone|Honest_good_phone|Honest_trust_phone|Honest_honest_phone,Q67|Honest_honest_print|Honest_hypo_print|Honest_trust_print|Honest_good_print|Honest_like_print
12/3/2018 17:35,12/3/2018 17:36,IP Address,100,110,TRUE,12/3/2018 17:36,R_1N3XAsUO6rurCYV,anonymous,EN,,,,,,,,,,,,,,,,,,,,,78,34,65,62,71,60,41,75,87,59,70,36,66,72,61,89,24,71,65,79,30-39,Male,,"Less than $5,000",Some college,1301,,,FL_16,,Juryhon_hyp|MusicHonest_hypocrisy|PhoneCallHon_hypo|PrintingHon_hypo,,,,,Q7|Honest_honest_music|Honest_like_music|Honest_hypo_music|Honest_trust_music|Honest_good_music,Q31|Honest_trust_jury|Honest_good_jury|Honest_hypo_jury|Honest_honest_jury|Honest_like_jury,Q49|Honest_trust_phone|Honest_honest_phone|Honest_like_phone|Honest_hypo_phone|Honest_good_phone,Q67|Honest_honest_print|Honest_like_print|Honest_trust_print|Honest_hypo_print|Honest_good_print
12/3/2018 17:34,12/3/2018 17:36,IP Address,100,130,TRUE,12/3/2018 17:36,R_TuxhGBQNPuwaZ57,anonymous,EN,97,10,98,97,90,40,99,40,41,61,38,20,40,43,61,39,97,28,39,43,,,,,,,,,,,,,,,,,,,,,40-49,Male,,"$65,000 to $80,000",Bachelor degree,5391,,,FL_14,MusicTraditional_hypocrisy|PrintingTrad_hypo|JuryTrad_hyp|PhonecallTrad_hypo,,Q1|Trad_honest_music|Trad_trust_music|Trad_hypo_music|Trad_good_music|Trad_like_music,Q25|Trad_like_jury|Trad_honest_jury|Trad_hypo_jury|Trad_good_jury|Trad_trust_jury,Q37|Trad_honest_phone|Trad_hypo_phone|Trad_trust_phone|Trad_like_phone|Trad_good_phone,Q61|Trad_like_print|Trad_hypo_print|Trad_good_print|Trad_honest_print|Trad_trust_print,,,,
